job_id,title,category,skills
34,Food & Beverage Manager,CHEF,"F&B Operations, Team Leadership, Cost Control, Menu Planning, Vendor Management, Customer Service, Budget Management, MS Excel"
35,Civil Engineer,CONSTRUCTION,"AutoCAD, Revit, Structural Analysis, Project Management, Site Supervision, MS Office, Risk Management, Quantity Surveying"
36,Construction Manager,CONSTRUCTION,"Project Management, Site Management, Budget Management, Risk Management, AutoCAD, MS Project, Team Leadership, Safety Compliance"
37,Quantity Surveyor,CONSTRUCTION,"Cost Estimation, Quantity Surveying, AutoCAD, MS Excel, Contract Management, Budgeting, Procurement, Report Writing"
38,Management Consultant,CONSULTANT,"Business Analysis, Strategic Planning, Stakeholder Management, Data Analysis, MS Excel, PowerPoint, Problem Solving, Communication"
39,HR Consultant,CONSULTANT,"HR Management, Recruitment, Talent Management, HR Policies, Communication, MS Office, Stakeholder Management, Compliance"
40,IT Consultant,CONSULTANT,"IT Strategy, Cloud Computing, AWS, Azure, Project Management, ITIL, Communication, Problem Solving, Stakeholder Management"
41,UI/UX Designer,DESIGNER,"UI/UX Design, Figma, Sketch, Adobe XD, Wireframing, User Research, Prototyping, CSS, HTML, Communication"
42,Product Designer,DESIGNER,"Product Design, SolidWorks, AutoCAD, Prototyping, User Research, Figma, 3D Modelling, Creativity, Problem Solving"
43,Brand Designer,DESIGNER,"Brand Design, Adobe Photoshop, Illustrator, InDesign, Typography, Visual Communication, Creativity, Client Management"
44,Digital Marketing Manager,DIGITAL-MEDIA,"Digital Marketing, SEO, SEM, Google Analytics, Social Media, Content Marketing, Email Marketing, CRM, Google Ads, Data Analysis"
45,Social Media Manager,DIGITAL-MEDIA,"Social Media Marketing, Content Creation, Instagram, LinkedIn, Facebook, Analytics, Copywriting, Brand Management, Communication"
46,PPC Specialist,DIGITAL-MEDIA,"Google Ads, SEM, PPC, Google Analytics, Facebook Ads, A/B Testing, Data Analysis, MS Excel, Campaign Management"
47,Content Strategist,DIGITAL-MEDIA,"Content Marketing, SEO, Copywriting, Social Media, WordPress, Analytics, Communication, Brand Management, Research"
48,Mechanical Engineer,ENGINEERING,"AutoCAD, SolidWorks, CATIA, FEA, Thermodynamics, Manufacturing, MS Office, Problem Solving, Technical Documentation"
49,Electrical Engineer,ENGINEERING,"Circuit Design, AutoCAD, MATLAB, PLC Programming, Power Systems, Testing, MS Office, Problem Solving, Technical Documentation"
50,Software Engineer,ENGINEERING,"Python, Java, C++, Git, REST API, SQL, Docker, Agile, Problem Solving, Communication"
51,Systems Engineer,ENGINEERING,"Systems Engineering, MATLAB, AutoCAD, Testing, Requirements Analysis, Technical Documentation, Problem Solving, MS Office"
52,Financial Analyst,FINANCE,"Financial Analysis, Financial Modelling, MS Excel, SQL, Power BI, Forecasting, Budgeting, Reporting, Communication"
53,Finance Manager,FINANCE,"Financial Planning, Budget Management, Accounting, ERP, SAP, Compliance, Stakeholder Management, MS Excel, Reporting"
54,FP&A Analyst,FINANCE,"Financial Planning, Budgeting, Forecasting, MS Excel, SAP, Data Analysis, Variance Analysis, PowerPoint, Communication"
55,Fitness Trainer,FITNESS,"Personal Training, Nutrition Counselling, Fitness Assessment, Program Design, Communication, Motivation, CPR, First Aid"
56,Gym Manager,FITNESS,"Fitness Management, Team Leadership, Sales Strategy, Customer Service, Budget Management, CRM, Communication, MS Excel"
57,Sports Coach,FITNESS,"Coaching, Athletic Training, Performance Analysis, Nutrition, Team Leadership, Communication, First Aid, Program Design"
58,Healthcare Administrator,HEALTHCARE,"Healthcare Management, Hospital Administration, EMR/EHR, Compliance, Budgeting, Stakeholder Management, MS Office, Communication"
59,Clinical Research Analyst,HEALTHCARE,"Clinical Research, Clinical Trials, Data Analysis, Medical Coding, Regulatory Compliance, MS Excel, Documentation, Communication"
60,Registered Nurse,HEALTHCARE,"Patient Care, Nursing, EMR/EHR, Clinical Skills, First Aid, CPR, Communication, Team Collaboration, Medical Documentation"
61,Medical Coder,HEALTHCARE,"Medical Coding, ICD, CPT Codes, EMR/EHR, Attention to Detail, Medical Terminology, Compliance, MS Office"
62,HR Manager,HR,"HR Management, Recruitment, Talent Management, Employee Relations, HRIS, Compliance, Communication, Stakeholder Management, MS Office"
63,Talent Acquisition Specialist,HR,"Recruitment, Sourcing, LinkedIn Recruiting, ATS, Communication, Interviewing, Employer Branding, Negotiation, MS Office"
64,HR Business Partner,HR,"HR Strategy, Employee Engagement, Performance Management, Compliance, Stakeholder Management, Communication, MS Office, HRIS"
65,Payroll Specialist,HR,"Payroll Processing, Tally, SAP, Compliance, MS Excel, Attention to Detail, HRIS, Tax, Reporting"
66,Software Developer,INFORMATION-TECHNOLOGY,"Python, Java, JavaScript, React, Node.js, SQL, Git, REST API, Docker, Agile"
67,Data Engineer,INFORMATION-TECHNOLOGY,"Python, SQL, Apache Spark, Kafka, Airflow, AWS, dbt, Snowflake, ETL, Data Pipeline"
68,Data Scientist,INFORMATION-TECHNOLOGY,"Python, Machine Learning, TensorFlow, Scikit-learn, SQL, Pandas, NumPy, Statistics, Data Visualisation, NLP"
69,DevOps Engineer,INFORMATION-TECHNOLOGY,"AWS, Docker, Kubernetes, Terraform, Jenkins, CI/CD, Linux, Python, Ansible, Monitoring"
70,Network Security Engineer,INFORMATION-TECHNOLOGY,"Network Security, Firewall, VPN, Cisco, TCP/IP, Penetration Testing, SIEM, Linux, Python, Compliance"
71,Full Stack Developer,INFORMATION-TECHNOLOGY,"React, Node.js, Python, JavaScript, TypeScript, PostgreSQL, REST API, Docker, Git, AWS"
72,Machine Learning Engineer,INFORMATION-TECHNOLOGY,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, MLOps, Docker, AWS, SQL, Feature Engineering"
73,Cloud Architect,INFORMATION-TECHNOLOGY,"AWS, Azure, GCP, Terraform, Kubernetes, Microservices, Docker, CI/CD, Solution Architecture, Security"
74,BI Developer,INFORMATION-TECHNOLOGY,"SQL, Power BI, Tableau, Python, Data Warehousing, ETL, MS Excel, Reporting, Data Analysis, Communication"
75,PR Manager,PUBLIC-RELATIONS,"Public Relations, Media Relations, Press Releases, Communication, Event Management, Brand Management, Social Media, Copywriting"
76,Communications Specialist,PUBLIC-RELATIONS,"Corporate Communications, Content Marketing, Social Media, Copywriting, Stakeholder Management, Media Relations, MS Office"
77,Event Coordinator,PUBLIC-RELATIONS,"Event Management, Vendor Management, Budget Management, Communication, Coordination, MS Office, Social Media, Marketing"
78,Sales Executive,SALES,"B2B Sales, Lead Generation, CRM, Salesforce, Negotiation, Communication, Client Management, MS Excel, Target Achievement"
79,Key Account Manager,SALES,"Account Management, Client Management, CRM, Salesforce, Sales Strategy, Negotiation, Communication, MS Excel, Reporting"
80,Inside Sales Representative,SALES,"Inside Sales, Cold Calling, CRM, HubSpot, Lead Generation, Communication, Negotiation, MS Office, Target Achievement"
81,School Teacher,TEACHER,"Teaching, Instructional Design, Curriculum Development, Classroom Management, Communication, MS Office, Assessment, Mentoring"
82,Corporate Trainer,TEACHER,"Training Delivery, Instructional Design, E-Learning, LMS, Communication, Presentation, Facilitation, MS Office, Assessment"
83,Academic Counsellor,TEACHER,"Counselling, Communication, Student Assessment, Career Guidance, MS Office, Report Writing, Stakeholder Management, Mentoring"
